id,name,tagline,first_brewed,description,image_url,abv,ibu,target_fg,target_og,ebc,srm,ph,attenuation_level,volume,boil_volume,method,ingredients,food_pairing,brewers_tips,contributed_by
13,Movember,Moustache-Worthy Beer.,11/2009,"A deliciously robust, black malted beer with a decadent dark, dry cocoa flavour that provides an enticing backdrop to the Cascade hops.",https://images.punkapi.com/v2/13.png,4.5,50,1012,1047,140,70,5.2,74.5,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 68, 'unit': 'celsius'}, 'duration': 50}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Maris Otter Extra Pale', 'amount': {'value': 3.44, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.31, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 1', 'amount': {'value': 0.31, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 3', 'amount': {'value': 0.31, 'unit': 'kilograms'}}], 'hops': [{'name': 'Cascade', 'amount': {'value': 43.8, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Cascade', 'amount': {'value': 81.3, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Cascade', 'amount': {'value': 250, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Vegetable egg scramble', 'Margherita pizza', 'Fresh berry crisp tart']","If you can’t find really fresh cascade, substitute it for Amarillo or Ahtanum.",Sam Mason <samjbmason>
14,Alpha Dog,Existential Red Ale.,02/2010,A fusion of caramel malt flavours and punchy New Zealand hops. A session beer you can get your teeth into.,https://images.punkapi.com/v2/14.png,4.5,42,1025,1046,62,31,4.4,72.8,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 25}], 'fermentation': {'temp': {'value': 22, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Maris Otter Extra Pale', 'amount': {'value': 2.5, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 0.61, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.28, 'unit': 'kilograms'}}, {'name': 'Dark Crystal 350-400', 'amount': {'value': 0.2, 'unit': 'kilograms'}}], 'hops': [{'name': 'Nelson Sauvin', 'amount': {'value': 15, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 10, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Nelson Sauvin', 'amount': {'value': 30, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Pastrami', 'Swiss and horseradish sandwich', 'Sharp cheddar cheese and onion/ raisin chutney', 'Peanut brittle']","Crush the malt as close to brewing time as possible. The fresher the malt, the more intense caramel flavours will be released in the wort.",Sam Mason <samjbmason>
15,Mixtape 8,"An Epic Fusion Of Old Belgian, American New Wave, And Scotch Whisky.",01/2012,"This recipe is for the Belgian Tripel base. A blend of two huge oak aged beers – half a hopped up Belgian Tripel, and half a Triple India Pale Ale. Both aged in single grain whisky barrels for two years and blended, each beer brings its own character to the mix. The Belgian Tripel comes loaded with complex spicy, fruity esters, and punchy citrus hop character.",https://images.punkapi.com/v2/15.png,14.5,50,1014,1093,40,20,4.4,85,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 40}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': 'Barrel aged and blended with Anarchist Alchemist'}","{'malt': [{'name': 'Pale Ale - Tipple', 'amount': {'value': 11.1, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.94, 'unit': 'kilograms'}}, {'name': 'Crystal', 'amount': {'value': 0.44, 'unit': 'kilograms'}}], 'hops': [{'name': 'Columbus Extract', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Cascade', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 37.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3522 - Belgian Ardennes™'}","['Coriander & chilli crab cakes', 'Goats cheese salad with walnuts, radish and blood orange', 'Pistachio cake']",Brew twice as much Belgian Tripel as you were planning on ageing - it's awesome on its own too!,Sam Mason <samjbmason>
16,Libertine Porter,Dry-Hopped Aggressive Porter.,01/2012,"An avalanche of cross-continental hop varieties give this porter a complex spicy, resinous and citrusy aroma, with a huge malt bill providing a complex roasty counterpoint. Digging deeper into the flavour draws out cinder toffee, bitter chocolate and hints of woodsmoke.",https://images.punkapi.com/v2/16.png,6.1,45,1020,1067,219,109.5,4.4,70.1,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 68, 'unit': 'celsius'}, 'duration': 35}], 'fermentation': {'temp': {'value': 18, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale - Spring Blend', 'amount': {'value': 5, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Chocolate', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Roasted Barley', 'amount': {'value': 0.63, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.31, 'unit': 'kilograms'}}, {'name': 'Flaked Oats', 'amount': {'value': 0.31, 'unit': 'kilograms'}}, {'name': 'Smoked Malt', 'amount': {'value': 0.06, 'unit': 'kilograms'}}], 'hops': [{'name': 'Columbus', 'amount': {'value': 31.25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Columbus', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'bitter'}, {'name': 'Willamette', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Galena', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Columbus', 'amount': {'value': 75, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Galena', 'amount': {'value': 75, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Simcoe', 'amount': {'value': 100, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Blue cheese beef burger', 'Glazed short ribs', 'Chocolate cake']",Mash in at a higher temperature to leave more unfermentable sugars in the wort. This gives the beer a sweeter porter profile.,Sam Mason <samjbmason>
17,AB:06,Imperial Black IPA.,04/2011,"Our sixth Abstrakt, this imperial black IPA combined dark malts with a monumental triple dry-hop, using an all-star team of some of our favourite American hops. Roasty and resinous.",https://images.punkapi.com/v2/17.png,11.2,150,1013,1098,70,35,,87,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 90}], 'fermentation': {'temp': {'value': 17, 'unit': 'celsius'}}, 'twist': 'White cane sugar: 150g at middle'}","{'malt': [{'name': 'Pale Ale', 'amount': {'value': 6.13, 'unit': 'kilograms'}}, {'name': 'Crystal 150', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.38, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 1', 'amount': {'value': 0.13, 'unit': 'kilograms'}}, {'name': 'Carafa Special Malt Type 3', 'amount': {'value': 0.13, 'unit': 'kilograms'}}], 'hops': [{'name': 'Hop Extract', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Chinook', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Cascade', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Columbus', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Chinook', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Cascade', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Centennial', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Columbus', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Amarillo', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1272 - American Ale II™'}","['Coffee dusted venison loin', 'Memphis-style beef short ribs', 'Chocolate orange brownies']",Boil down to desired OG (about 17 litres).,Sam Mason <samjbmason>
18,Russian Doll – India Pale Ale,Nesting Hop Bomb.,08/2014,"The levels of hops vary throughout the range. We love hops, so all four beers are big, bitter badasses, but by tweaking the amount of each hop used later in the boil and during dry- hopping, we can balance the malty backbone with some unexpected flavours. Simcoe is used in the whirlpool for all four beers, and yet still lends different characters to each",https://images.punkapi.com/v2/18.png,6,70,1012,1058,25,12.5,5.2,79.3,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 5.06, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.25, 'unit': 'kilograms'}}, {'name': 'Dark Crystal', 'amount': {'value': 0.06, 'unit': 'kilograms'}}], 'hops': [{'name': 'Cascade', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 75, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Cascade', 'amount': {'value': 75, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Centennial', 'amount': {'value': 75, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Citra', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Spicy chicken skewers', 'Fish tacos with hot sauce', 'Lemon pound cake with a ice sugar glaze']",Create balance through experimentation with the hop amounts and malt backbone.,Sam Mason <samjbmason>
19,Hello My Name Is Mette-Marit,Lingonberry Double IPA.,06/2013,"We sent this beer to Norway where it was known as 'Hello, my name is Censored’. You can make up your own mind as to why. This brew was a red berry explosion, with a reisnous bitter edge layered with dry berry tartness.",https://images.punkapi.com/v2/19.png,8.2,70,1013,1076,,,4.4,83,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 66, 'unit': 'celsius'}, 'duration': 90}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': 'Infusion of lingonberries alongside the dry hops, Cranberry Juice: 5.5g at 30mins, Lingonberries: 10g Twist'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 6.12, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.8, 'unit': 'kilograms'}}], 'hops': [{'name': 'Tomahawk', 'amount': {'value': 7, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Motueka', 'amount': {'value': 5.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Galena', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Mt.Hood', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Challenger', 'amount': {'value': 15, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Galena', 'amount': {'value': 15, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}, {'name': 'Nelson Sauvin', 'amount': {'value': 20, 'unit': 'grams'}, 'add': 'dry hop', 'attribute': 'aroma'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Fårikål (mutton stew) with a spicy twist', 'Fenalår (salted cured lamb)', 'Krumkake with lingonberry jam']","Using crushed cranberries will dry out the beer further, drawing out their natural astringent character.",Sam Mason <samjbmason>
20,Rabiator,Imperial Wheat Beer,03/2011,"Imperial Wheat beer / Weizenbock brewed by a homesick German in leather trousers. Think banana bread, bubble gum and David Hasselhoff.",https://images.punkapi.com/v2/keg.png,10.27,26,1014,1092,24,12,4.4,85,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 64, 'unit': 'celsius'}, 'duration': 60}], 'fermentation': {'temp': {'value': 21, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 5.63, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 0.69, 'unit': 'kilograms'}}, {'name': 'Crystal', 'amount': {'value': 0.63, 'unit': 'kilograms'}}], 'hops': [{'name': 'Columbus', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Hersbrucker', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3333 - German Wheat™'}","['Grilled portabello mushroom burger', 'Chicken sausages with creamy mash', 'Caramel and banana meringue pie']",If you are struggling to get that authentic head retention increase your mash temperature to about 70°C.,Sam Mason <samjbmason>
21,Vice Bier,Hoppy Wheat Bier.,04/2013,"Our take on the classic German Kristallweizen. A clear German wheat beer, layers of bubblegum and vanilla perfectly balanced with the American and New Zealand hops.",https://images.punkapi.com/v2/keg.png,4.3,25,1010,1043,30,15,4,81.8,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 22, 'unit': 'celsius'}}, 'twist': None}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 2.69, 'unit': 'kilograms'}}, {'name': 'Wheat', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 0.38, 'unit': 'kilograms'}}], 'hops': [{'name': 'Waimea', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Amarillo', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Nelson Sauvin', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Motueka', 'amount': {'value': 2.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Simcoe', 'amount': {'value': 6, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Citra', 'amount': {'value': 6, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Waimea', 'amount': {'value': 6, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3638 - Bavarian Wheat™'}","['Citrus salad with balsamic dressing', 'Lobster', 'Ginger and orange cookies']",Ferment at higher or lower temperatures to select the esters that will create clove- like or banana-like flavours.,Sam Mason <samjbmason>
22,Devine Rebel (w/ Mikkeller),Oak-aged Barley Wine.,12/2008,"Two of Europe's most experimental, boundary-pushing brewers, BrewDog and Mikkeller, combined forces to produce a rebellious beer that combined their respective talents and brewing skills. The 12.5% Barley Wine fermented well, and the champagne yeast drew it ever closer to 12.5%. The beer was brewed with a single hop variety and was going to be partially aged in oak casks.",https://images.punkapi.com/v2/22.png,12.5,100,1030,1093,36,18,4.4,68,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 90}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': 'Part-aged in oak barrels, finished with champagne yeast'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 10, 'unit': 'kilograms'}}, {'name': 'Caramalt', 'amount': {'value': 1.88, 'unit': 'kilograms'}}, {'name': 'Munich', 'amount': {'value': 1.25, 'unit': 'kilograms'}}, {'name': 'Amber', 'amount': {'value': 0.63, 'unit': 'kilograms'}}], 'hops': [{'name': 'Nelson Sauvin', 'amount': {'value': 100, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Nelson Sauvin', 'amount': {'value': 100, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Stilton on gingerbread biscuits', 'Pot roasted artichokes', 'Lamb chops with caramelised figs']",Rack off to a secondary fermenter before pitching in some champagne.,Sam Mason <samjbmason>
23,Storm,Islay Whisky Aged IPA.,12/2007,"Dark and powerful Islay magic infuses this tropical sensation of an IPA. Using the original Punk IPA as a base, we boosted the ABV to 8% giving it some extra backbone to stand up to the peated smoke imported directly from Islay.",https://images.punkapi.com/v2/23.png,8,60,1010,1082,12,6,4.4,86,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': 'Oak chips soaked in Islay whisky 50g'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 5.8, 'unit': 'kilograms'}}], 'hops': [{'name': 'Ahtanum', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Chinook', 'amount': {'value': 15, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Crystal', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Chinook', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'middle', 'attribute': 'flavour'}, {'name': 'Ahtanum', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Chinook', 'amount': {'value': 27.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Crystal', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Motueka', 'amount': {'value': 17.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Oysters', 'Hickory smoked ham', 'Rocky Road']","After primary fermentation is complete, rack off into a secondary fermeter and add the oak chips to replicate the authentic Islay barrel experience.",Sam Mason <samjbmason>
24,The End Of History,The World's Strongest Beer.,06/2011,"The End of History: The name derives from the famous work of philosopher Francis Fukuyama, this is to beer what democracy is to history. Complexity defined. Floral, grapefruit, caramel and cloves are intensified by boozy heat.",https://images.punkapi.com/v2/24.png,55,,1000,1112,,,4.4,100,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 65, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 20, 'unit': 'celsius'}}, 'twist': 'Nettles: 25g at end, Juniper: 25g at end'}","{'malt': [{'name': 'Extra Pale', 'amount': {'value': 12.5, 'unit': 'kilograms'}}], 'hops': [{'name': 'Nelson Sauvin', 'amount': {'value': 6.25, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Centennial', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'Nelson Sauvin', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Amarillo', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Centennial', 'amount': {'value': 12.5, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 3522 - Belgian Ardennes™'}","['Roasted wood pigeon with black pudding', 'Pan seared venison fillet with juniper sauce', 'Apricot coconut cake']",You'll have to get this one all the way down to -70°C. Taxidermy is not optional.,Sam Mason <samjbmason>
25,Bad Pixie,Spiced Wheat Beer.,10/2008,"2008 Prototype beer, a 4.7% wheat ale with crushed juniper berries and citrus peel.",https://images.punkapi.com/v2/25.png,4.7,45,1010,1047,8,4,4.4,79,"{'value': 20, 'unit': 'litres'}","{'value': 25, 'unit': 'litres'}","{'mash_temp': [{'temp': {'value': 67, 'unit': 'celsius'}, 'duration': 75}], 'fermentation': {'temp': {'value': 19, 'unit': 'celsius'}}, 'twist': 'Crushed juniper berries: 12.5g, Lemon peel: 18.8g'}","{'malt': [{'name': 'Wheat', 'amount': {'value': 2.5, 'unit': 'kilograms'}}, {'name': 'Extra Pale', 'amount': {'value': 2.06, 'unit': 'kilograms'}}], 'hops': [{'name': 'First Gold', 'amount': {'value': 18.75, 'unit': 'grams'}, 'add': 'start', 'attribute': 'bitter'}, {'name': 'First Gold', 'amount': {'value': 25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}, {'name': 'Sorachi Ace', 'amount': {'value': 16.25, 'unit': 'grams'}, 'add': 'end', 'attribute': 'flavour'}], 'yeast': 'Wyeast 1056 - American Ale™'}","['Poached sole fillet with capers', 'Summer fruit salad', 'Banana split']",Make sure you have plenty of room in the fermenter. Beers containing wheat can often foam aggressively during fermentation.,Sam Mason <samjbmason>
